,Id,Fk_Asset,FK_OtherParameter,FK_Company,FK_OilAndGas,FK_HistoricCompany,FK_DataQuality,FK_LifeCycleTS,FK_LifeCycle,FK_OilAndGasType,NPV Current Year Forward Case,NPV Current Year High Case,NPV Current Year Low Case,NPV Current Year,NPV Current Year Mid Case,NPV Current Year Low Low Case,NPV Current Year Mid Low Case,NPV Current Year Low Low Low Case,NPV Current Year Mid Low Low Case,NPV Current Year Mid Mid Low Case,NPV Current Year Mid Mid Low Low Case
827,253197,194792,111,168,4,168,30,24,24,11,-0.0704,,0.0124,-0.0038,,0.0253,-0.032499999,5.66E-02,2.30E-03,-2.57E-02,-7.90E-03
828,253199,194792,111,168,12,168,30,24,24,8,0.44600001,,0.518000007,0.449999988,,0.55400002,0.421000004,0.573000014,0.48300001,0.360000014,0.449999988
829,253209,194793,3,10,2,10,30,24,24,10,0.040199999,0.089599997,0.0135,0.0287,0.075300001,0.0092,0.0473,5.00E-04,3.44E-02,5.74E-02,3.75E-02
830,253211,194793,3,168,9,168,30,24,24,15,0.0027,0.0073,0.0003,0.0016,0.0059,-0.0002,0.0034,-1.00E-03,0.0014,4.40E-03,2.50E-03
831,253213,194793,111,168,2,168,30,24,24,10,-0.034200002,-0.076300003,-0.0115,-0.0244,-0.064199999,-0.0079,-0.0403,-4.00E-04,-0.029300001,-4.89E-02,-3.20E-02
832,253214,194793,111,685,4,685,30,24,24,11,-0.109999999,-0.155000001,0.0027,-0.0385,-0.112000004,0.0144,-0.050000001,4.34E-02,-1.61E-02,-0.052999999,-4.06E-02
833,253221,194793,3,685,4,685,30,24,24,11,0.109999999,0.155000001,-0.0027,0.0385,0.112000004,-0.0144,0.050000001,-4.34E-02,1.61E-02,0.052999999,4.06E-02
834,222363,119380,3,1084,12,1084,30,3,3,6,8.119999886,22.89999962,,,17.94000053,,10.32999992,,,12.97999954,7.599999905
835,222364,119380,75,685,12,685,30,3,3,6,,,5.610000134,12.23999977,,-1,,-7.46999979,12.25,,
836,222369,119380,3,8924,12,8924,30,3,3,6,24.35000038,68.69000244,,,53.8199997,,30.97999954,,,38.93999863,22.80999947
