,Id,FK_Asset,Year,FK_Company,FK_OilAndGas,FK_DataQuality,FK_OtherParameter,FK_HistoricCompany,FK_LifeCycleTS,FK_LifeCycle,FK_OilAndGasType,Production,Production Forward Case,Production High Case,Production Low Case,Production Mid Case,Production Low Low Case,Production Mid Low Case,Production Low Low Low Case,Production Mid Low Low Case,Production Mid Mid Low Case,Production Mid Mid Low Low Case
2839,2884645,32556,2001,10,4,21,12,6,16,2,11,0.504000008,0.504000008,0.504000008,0.504000008,0.504000008,0.504000008,0.504000008,0.504000008,0.504000008,0.504000008,0.504000008
2840,2884646,32556,2001,10,4,21,12,20932,16,2,11,1.309999943,1.309999943,1.309999943,1.309999943,1.309999943,1.309999943,1.309999943,1.309999943,1.309999943,1.309999943,1.309999943
2841,2884670,32559,2001,12830,4,21,12,12830,17,14,11,0,0,0,0,0,0,0,0,0,0,0
2842,2884701,32563,2001,10,12,1,12,6,15,2,8,0.300000012,0.300000012,0.300000012,0.300000012,0.300000012,0.300000012,0.300000012,0.300000012,0.300000012,0.300000012,0.300000012
2843,2884703,32563,2001,168,4,21,12,3,15,2,11,0.109999999,0.109999999,0.109999999,0.109999999,0.109999999,0.109999999,0.109999999,0.109999999,0.109999999,0.109999999,0.109999999
2844,2884716,32565,2001,168,12,1,12,3,16,14,8,3.140000105,3.140000105,3.140000105,3.140000105,3.140000105,3.140000105,3.140000105,3.140000105,3.140000105,3.140000105,3.140000105
2845,2884718,32565,2001,685,4,21,12,6,16,14,11,0.021,0.021,0.021,0.021,0.021,0.021,0.021,2.10E-02,2.10E-02,2.10E-02,2.10E-02
2846,2884721,32565,2001,685,12,1,12,6,16,14,8,0.256000012,0.256000012,0.256000012,0.256000012,0.256000012,0.256000012,0.256000012,0.256000012,0.256000012,0.256000012,0.256000012
2847,2884737,32568,2001,168,12,1,12,3,14,2,8,0.075400002,0.075400002,0.075400002,0.075400002,0.075400002,0.075400002,0.075400002,7.54E-02,7.54E-02,7.54E-02,7.54E-02
2848,2884739,32568,2001,685,12,1,12,6,14,2,8,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,6.20E-03,6.20E-03,6.20E-03,6.20E-03
2849,2884741,32570,2001,10,2,1,12,6,15,14,10,0.653999984,0.653999984,0.653999984,0.653999984,0.653999984,0.653999984,0.653999984,0.653999984,0.653999984,0.653999984,0.653999984
2850,2884755,32572,2001,10,12,1,12,6,16,14,8,0.038600001,0.038600001,0.038600001,0.038600001,0.038600001,0.038600001,0.038600001,3.86E-02,3.86E-02,3.86E-02,3.86E-02
2851,2884765,32574,2001,10,12,1,12,6,14,2,8,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028
2852,2884766,32574,2001,10,12,1,12,20932,14,2,8,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,7.20E-03,7.20E-03,7.20E-03,7.20E-03
2853,2884791,32584,2001,685,4,21,12,685,15,2,11,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.00E-02,2.00E-02,2.00E-02,2.00E-02
2854,16497621,32614,2048,10,9,29,12,10,16,24,18,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,2.00E-04,2.00E-04,2.00E-04,2.00E-04
2855,16497653,32623,2048,685,9,29,12,685,14,24,17,0,0,0,0,0,0,0,0,0,0,0
2856,16277818,237729,2047,685,4,29,144,685,14,9,11,-0.039799999,-0.039799999,,-0.039799999,,-0.039799999,-0.039799999,0,-3.98E-02,,-3.98E-02
2857,16001887,32566,2047,685,2,29,120,685,14,6,10,,,,-0.0156,,-0.0156,,0,-1.56E-02,,-1.56E-02
2858,8616966,279421,2031,10,12,29,84,10,15,8,8,1.299999952,1.299999952,,1.299999952,,1.299999952,1.299999952,1.299999952,1.299999952,,1.299999952
2859,8747350,32582,2032,18247,9,29,84,18247,16,8,20,,,,0.0024,,0.0024,,2.40E-03,2.40E-03,,
2860,8747354,32582,2032,18247,9,29,120,18247,16,8,20,,,,-0.0024,,-0.0024,,-2.40E-03,-2.40E-03,,
2861,8747409,32598,2032,168,9,29,120,168,14,9,19,0,0,0,0,0,0,0,0,0,0,0
2862,9140951,32575,2033,10,12,29,12,10,17,7,6,,,0.707000017,,,,,,,,
2863,9141069,32598,2033,168,12,29,84,168,14,9,8,0.0028,0.0028,0.0028,0,0.0028,0,0.0028,0,0.0028,0.0028,0.0028
2864,9141126,32604,2033,10,9,29,48,10,14,9,20,0.001,,,,,,,,,,
2865,8747183,32561,2032,10,4,29,12,10,2,14,11,,,0.122000001,,0.122000001,,,,,,
2866,8988092,237729,2032,12830,12,29,12,12830,15,9,6,,,3.809999943,,3.809999943,,,,,3.809999943,
2867,9408775,279421,2033,685,12,29,84,685,16,8,8,0.458000004,0.458000004,,0.458000004,,0.458000004,0.458000004,0.458000004,0.458000004,,0.458000004
2868,2884715,32565,2001,168,4,21,12,3,16,14,11,0.257999986,0.257999986,0.257999986,0.257999986,0.257999986,0.257999986,0.257999986,0.257999986,0.257999986,0.257999986,0.257999986
2869,9140821,32560,2033,10,12,29,84,10,14,14,8,0,,,,,,,,0,,0
2870,4706145,32555,2014,10,4,21,12,6,14,14,11,0.012,0.012,0.012,0.012,0.012,0.012,0.012,1.20E-02,1.20E-02,1.20E-02,1.20E-02
2871,4706146,32555,2014,10,4,21,12,20932,14,14,11,0.031199999,0.031199999,0.031199999,0.031199999,0.031199999,0.031199999,0.031199999,3.12E-02,3.12E-02,3.12E-02,3.12E-02
2872,4706169,32559,2014,2770,4,21,12,2770,16,14,11,0.0187,0.0187,0.0187,0.0187,0.0187,0.0187,0.0187,1.87E-02,1.87E-02,1.87E-02,1.87E-02
2873,4706212,32567,2014,10,8,21,12,20932,16,14,9,1.480000019,1.480000019,1.480000019,1.480000019,1.480000019,1.480000019,1.480000019,1.480000019,1.480000019,1.480000019,1.480000019
2874,4706173,32559,2014,12830,4,21,12,20460,16,14,11,0.405000001,0.405000001,0.405000001,0.405000001,0.405000001,0.405000001,0.405000001,0.405000001,0.405000001,0.405000001,0.405000001
2875,4706175,32559,2014,12830,12,5,12,12830,16,14,8,0,0,0,0,0,0,0,0,0,0,0
2876,4706187,32561,2014,10,12,21,12,6,14,14,8,0.328999996,0.328999996,0.328999996,0.328999996,0.328999996,0.328999996,0.328999996,0.328999996,0.328999996,0.328999996,0.328999996
2877,4706223,32570,2014,685,2,21,12,685,14,14,10,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,2.55E-02,2.55E-02,2.55E-02,2.55E-02
2878,4706213,32567,2014,168,4,21,12,3,16,14,11,0.810000002,0.810000002,0.810000002,0.810000002,0.810000002,0.810000002,0.810000002,0.810000002,0.810000002,0.810000002,0.810000002
2879,4706229,32572,2014,168,4,21,12,3,14,14,11,0,0,0,0,0,0,0,0,0,0,0
2880,4706184,32560,2014,685,12,21,12,685,14,14,8,2.25999999,2.25999999,2.25999999,2.25999999,2.25999999,2.25999999,2.25999999,2.25999999,2.25999999,2.25999999,2.25999999
2881,4706198,32563,2014,168,12,21,12,3,14,2,8,0.342000008,0.342000008,0.342000008,0.342000008,0.342000008,0.342000008,0.342000008,0.342000008,0.342000008,0.342000008,0.342000008
2882,4706225,32572,2014,10,4,21,12,6,14,14,11,0,0,0,0,0,0,0,0,0,0,0
2883,4706247,32584,2014,168,12,21,12,3,14,2,8,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,2.98E-02,2.98E-02,2.98E-02,2.98E-02
2884,4706192,32561,2014,685,12,21,12,685,14,14,8,0.549000025,0.549000025,0.549000025,0.549000025,0.549000025,0.549000025,0.549000025,0.549000025,0.549000025,0.549000025,0.549000025
2885,4706194,32563,2014,10,4,21,12,20932,14,2,11,0.031199999,0.031199999,0.031199999,0.031199999,0.031199999,0.031199999,0.031199999,3.12E-02,3.12E-02,3.12E-02,3.12E-02
